datetime,o,h,l,c,v,ma_10,ema_10,rsi_14,macd,macd_signal,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ret_1,roll_std_10,roll_mean_10
2023-05-08 04:00:00,172.48,173.85,172.11,173.5,55962634.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,,,
2023-05-09 04:00:00,173.05,173.54,171.6,171.77,45326874.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.009971181556195918,,
2023-05-10 04:00:00,173.02,174.03,171.9,173.555,53724501.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.010391802992373522,,
2023-05-11 04:00:00,173.85,174.59,172.17,173.75,49473076.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.0011235631356054654,,
2023-05-12 04:00:00,173.62,174.06,171.0,172.57,45533138.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.0067913669064748605,,
2023-05-15 04:00:00,173.16,173.21,171.47,172.07,37264259.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.0028973749782696956,,
2023-05-16 04:00:00,171.99,173.1383,171.7991,172.07,42110293.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.0,,
2023-05-17 04:00:00,171.71,172.925,170.4201,172.69,57934404.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.003603184750392341,,
2023-05-18 04:00:00,173.0,175.24,172.58,175.05,65496657.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.013666106896751407,,
2023-05-19 04:00:00,176.39,176.39,174.94,175.16,55525641.0,173.2185,173.2185,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.0006283918880318762,,
2023-05-22 04:00:00,173.98,174.71,173.45,174.2,43570932.0,173.2885,173.39695454545455,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.005480703356930849,0.007390285781560487,0.0004272422865283287
2023-05-23 04:00:00,173.13,173.3794,171.275,171.56,50745163.0,173.26749999999998,173.06296280991734,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.015154994259471755,0.00832358497381264,-9.113898379925489e-05
2023-05-24 04:00:00,171.09,172.4183,170.52,171.84,43711588.0,173.096,172.84060593538692,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.0016320820704127659,0.007519919832679414,-0.0009671110759953306
2023-05-25 04:00:00,172.41,173.895,171.69,172.99,55889523.0,173.02,172.8677684925893,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.006692271880819334,0.007889070678409852,-0.0004102402014739437
2023-05-26 04:00:00,173.32,175.77,173.11,175.43,54834975.0,173.30599999999998,173.33362876666396,60.24758045131347,MACD_12_26_9,MACDh_12_26_9,,,,,,0.014104861552690862,0.008733340267473282,0.0016793826444426285
2023-05-30 04:00:00,176.96,178.99,176.57,177.3,55963954.0,173.829,174.05478717272507,66.4787849213365,MACD_12_26_9,MACDh_12_26_9,,,,,,0.010659522316593506,0.008992332176886213,0.0030350723739289488
2023-05-31 04:00:00,177.325,179.35,176.76,177.25,99625288.0,174.347,174.63573495950232,66.1800755999849,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.0002820078962211259,0.009003343491129944,0.003006871584306836
2023-06-01 04:00:00,177.7,180.12,176.9306,180.09,68901712.0,175.08700000000002,175.62741951232007,73.4714873366947,MACD_12_26_9,MACDh_12_26_9,,,,,,0.01602256699576876,0.009906060873636203,0.0042488098088444785
2023-06-02 04:00:00,181.03,181.78,179.26,180.95,61996852.0,175.677,176.59516141917098,75.21412853943886,MACD_12_26_9,MACDh_12_26_9,,,,,,0.004775390082736308,0.009350327956731576,0.003359738127442968
2023-06-05 04:00:00,182.63,184.951,178.035,179.58,121722517.0,176.119,177.13785934295808,67.5964007776669,MACD_12_26_9,MACDh_12_26_9,168.97838105326196,174.66875,180.35911894673802,6.515611918832686,0.9315405596692782,-0.0075711522520032215,0.009956341116669822,0.0025397837134394584
2023-06-06 04:00:00,179.965,180.12,177.43,179.21,64845314.0,176.62,177.51461218969297,65.6621751830297,MACD_12_26_9,MACDh_12_26_9,168.9621174288697,174.95425,180.9463825711303,6.849942280487954,0.8551114690372448,-0.0020603630693841746,0.009705793348377583,0.002881817742194126
2023-06-07 04:00:00,178.44,181.21,177.32,177.82,61944615.0,177.246,177.57013724611244,58.84940991564201,MACD_12_26_9,MACDh_12_26_9,169.32764865578258,175.25675,181.18585134421744,6.766188856312158,0.7161583898797652,-0.007756263601361613,0.008367861047857379,0.00362169080800514
