datetime,o,h,l,c,v,ma_10,ema_10,rsi_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ret_1,roll_std_10,roll_mean_10
2023-06-05 04:00:00,217.8,221.29,214.52,217.61,151111552.0,197.937,199.90951527879136,86.3799291161862,152.47848093609645,184.6335,216.78851906390355,34.831186175752016,1.0127737591208372,0.0170117306164416,0.0233065852574279,0.0193175571131493
2023-06-06 04:00:00,216.14,221.91,212.53,221.31,146907576.0,201.181,203.80051250082929,87.47342526356606,151.81835409908032,187.1095,222.40064590091967,37.72245225487714,0.9845478820100988,0.0170028950875418,0.0209383857907272,0.0161716159124552
2023-06-07 04:00:00,228.0,230.8296,223.2,224.57,185630591.0,205.061,207.576782955224,88.3601443247193,152.05325718480134,189.8805,227.70774281519869,39.84320961362401,0.9585253565726712,0.0147304685734941,0.0176037974206492,0.0192860033744534
2023-06-08 04:00:00,224.22,235.23,223.01,234.86,164477139.0,210.257,212.537367872456,90.61772939042432,151.9598103777716,193.1965,234.4331896222284,42.68885784393444,1.0051751290135271,0.0458209021685889,0.0145724480531062,0.0254130147303551
2023-06-09 04:00:00,249.07,252.42,242.02,244.4,200174671.0,216.25,218.3305737138276,92.1398381935654,151.1688682974284,196.8125,242.4561317025716,46.38285851007595,1.0212939705378317,0.0406199437963041,0.013970635818332,0.0286166165457428
2023-06-12 04:00:00,247.94,250.97,244.59,249.83,150739148.0,221.916,224.0577421294953,92.85077775058572,151.79028387540046,200.905,250.0197161245996,48.893473158557065,0.9980686427656608,0.0222176759410801,0.0124338040601938,0.0261221701213112
2023-06-13 04:00:00,253.51,259.68,251.34,258.71,162369003.0,227.671,230.3581526514052,93.83312329187582,153.02132722664925,205.523,258.02467277335074,51.09080032244639,1.0065267180115174,0.035544170035624,0.0117592305089452,0.0255403340835111
2023-06-14 04:00:00,260.17,261.57,250.5,256.79,170543752.0,232.957,235.16394307842245,90.92403354385232,156.21872253752952,210.0365,263.8542774624705,51.24611909117748,0.9343685507321746,-0.0074214371303774,0.0154472147342021,0.0234211770477452
2023-06-15 04:00:00,248.4,258.95,247.29,255.9,160133746.0,237.795,238.934135245982,89.53828892883138,159.47597306426462,214.1385,268.8010269357354,51.05343218126156,0.8819938661918918,-0.0034658670508976,0.0176138463260394,0.021314182359524
2023-06-16 04:00:00,258.92,263.6,257.2091,260.54,167765649.0,242.452,242.86247429216704,90.36292513028036,162.9030578151805,218.321,273.7389421848195,50.76739496871076,0.88091454081062,0.0181320828448612,0.0172890082935798,0.0200192564882661
2023-06-20 04:00:00,261.5,274.75,261.12,274.45,165599166.0,248.136,248.60566078450032,92.3178723149126,165.41064008450726,223.0365,280.6623599154928,51.673927734243286,0.94609746453586,0.0533891149151759,0.0201724760246887,0.0236569949181395
2023-06-21 04:00:00,275.13,276.99,257.78,259.46,211779399.0,251.951,250.57917700550024,74.72571626785312,169.09622902429496,226.56600000000003,284.0357709757051,50.73115204903212,0.7861852365298765,-0.0546183275642193,0.0320280228210793,0.0164948726529634
