datetime,o,h,l,c,v,ma_10,ema_10,rsi_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ret_1,roll_std_10,roll_mean_10
2023-12-13 05:00:00,148.12,149.46,146.82,148.84,52766196.0,146.587,146.79928683582574,61.34248347317841,143.03241248691285,146.082,149.13158751308714,4.175172181496895,0.9521923027563884,0.00922158936805,0.0119375188964887,0.0017732633621542
2023-12-14 05:00:00,149.93,150.54,145.52,147.42,58400848.0,146.72,146.91214377476652,57.50973210875658,143.49679471426424,146.293,149.08920528573577,3.822746523395878,0.7015231152285433,-0.0095404461166354,0.0124409688903564,0.0009764084716498
2023-12-15 05:00:00,148.38,150.57,147.88,149.97,110072142.0,147.014,147.46811763389988,62.09045842151399,143.89055077959824,146.65,149.40944922040177,3.763312949746693,1.1015693232283177,0.0172975172975173,0.0134072436555428,0.0020627212254278
2023-12-18 05:00:00,150.56,154.855,150.05,154.07,62512828.0,147.93699999999998,148.6684598822817,68.05383187705647,142.92276906428816,147.09449999999998,151.2662309357118,5.672178002184747,1.3360438517602746,0.027338801093552,0.014105702412774,0.0062860932752033
2023-12-19 05:00:00,154.4,155.12,152.69,153.79,43171292.0,148.628,149.5996489945941,67.27550983336617,142.41820410037383,147.47750000000002,152.5367958996262,6.861108846605336,1.123851631258252,-0.0018173557473875,0.0140249827481819,0.0046959069962392
2023-12-20 05:00:00,152.9,155.63,151.56,152.12,50322106.0,149.388,150.05789463194063,62.6716608033942,142.7240396216087,147.8885,153.05296037839128,6.984262303547988,0.90967494084233,-0.0108589635216853,0.0132431184994325,0.0052167644567069
2023-12-21 05:00:00,153.3,153.97,152.1,153.84,36305733.0,150.084,150.74555015340596,65.30511735816602,142.5030856850722,148.245,153.98691431492782,7.7465200376779135,0.9872068523779722,0.0113068630028925,0.0128646183969657,0.0047144587835668
2023-12-22 05:00:00,153.77,154.35,152.71,153.42,29514093.0,150.68400000000003,151.2318137618776,64.1156377972477,142.46128179792726,148.579,154.69671820207276,8.234970220653997,0.8956540527119895,-0.0027301092043682,0.0130797783070976,0.0040738008043065
2023-12-26 05:00:00,153.56,153.975,153.03,153.41,25067222.0,151.43599999999998,151.6278476233544,64.08570782266555,142.41106974619444,148.863,155.31493025380556,8.66827922829119,0.8523751668981565,-6.518055012383339e-05,0.0121899357211769,0.0051051337871451
2023-12-27 05:00:00,153.56,154.78,153.12,153.34,31344733.0,152.022,151.93914805547178,63.860978020232,142.502725063712,149.1785,155.85427493628802,8.950049687170749,0.8116866610780281,-0.0004562935923342,0.0121189582910054,0.0039696422029477
2023-12-28 05:00:00,153.72,154.08,152.95,153.38,27057002.0,152.476,152.2011211362951,63.93879714252943,142.75183548027852,149.5315,156.31116451972147,9.067874688238236,0.7838267283583897,0.0002608582235554,0.0120183425084259,0.0030735690884982
2023-12-29 05:00:00,153.1,153.89,151.03,151.94,39728704.0,152.928,152.1536445660596,59.01228509666454,143.15969088352213,149.82399999999998,156.48830911647784,8.896183677485388,0.6587561413356482,-0.009388446994393,0.0120006998163075,0.0030887690007225
2024-01-02 05:00:00,151.54,152.38,148.39,149.93,47314924.0,152.92399999999998,151.74934555404874,52.88679824919983,143.42913180561183,149.969,156.50886819438816,8.72162672870815,0.4970182885311471,-0.0132289061471633,0.011866586638157,3.612665625445377e-05
2024-01-03 05:00:00,149.2,151.05,148.33,148.47,49410095.0,152.36399999999998,151.15310090785806,48.91504618894178,144.00020090158458,150.1505,156.3007990984154,8.19217931131154,0.3633806280711645,-0.009737877676249,0.0073027393975048,-0.0036715412207256
2024-01-04 05:00:00,145.59,147.38,144.05,144.57,56039807.0,151.442,149.9561734700657,40.224913508140254,143.56491653840774,150.035,156.50508346159225,8.62476550350552,0.0776715994127921,-0.0262679329157405,0.0101507846760143,-0.0061165989375609
2024-01-05 05:00:00,144.69,146.59,144.53,145.24,45003147.0,150.75400000000002,149.0986873845992,42.12710411528173,143.7170912817408,150.07099999999997,156.42490871825913,8.467870165800408,0.1198403050615784,0.0046344331465726,0.0105221248426699,-0.0045672592707351
2024-01-08 05:00:00,146.74,149.4,146.15,149.1,46757053.0,150.28,149.0989260419448,51.66940573951035,143.97918257563796,150.18200000000002,156.38481742436207,8.260400613072209,0.4127815695694684,0.0265767006334343,0.0137075716597746,-0.0030402755076809
2024-01-09 05:00:00,148.33,151.71,148.21,151.37,43812567.0,150.075,149.51184857977302,56.23910250234425,144.29053793738464,150.3795,156.46846206261537,8.098127820102295,0.5813357013735895,0.0152246814218646,0.0148785926945392,-0.0012447964450576
2024-01-10 05:00:00,152.06,154.42,151.881,153.73,44421830.0,150.107,150.27878520163245,60.428212325898656,144.88296444351667,150.7715,156.66003555648334,7.8112051103601585,0.7512084686949585,0.0155909361167998,0.0158110077107196,0.0003208152216346
2024-01-11 05:00:00,155.04,157.17,153.12,155.18,49072691.0,150.291,151.169915164972,62.78537653182244,145.1730118033067,151.1565,157.13998819669328,7.91694461924335,0.8362169246212902,0.0094321212515451,0.0160641962419724,0.0013096567060226
2024-01-12 05:00:00,155.39,156.2,154.01,154.62,40455355.0,150.41500000000002,151.79720331679528,61.26749117099436,145.3796959312909,151.44549999999998,157.51130406870905,8.010543817688966,0.761671821578934,-0.0036087124629462,0.016138699615111,0.0009226996373724
2024-01-16 05:00:00,153.53,154.99,152.15,153.16,41360986.0,150.53699999999998,152.0449845319234,57.37311069821566,145.91773646224826,151.73250000000002,157.54726353775175,7.66449315440233,0.6227478977203529,-0.0094425042038546,0.016142545720312,0.0009172939164262
2024-01-17 05:00:00,151.49,152.15,149.91,151.71,34953363.0,150.715,151.98407825339186,53.72093490238724,146.06102633070472,151.8195,157.5779736692953,7.58594735102577,0.4904922722331908,-0.0094672238182291,0.0158168133043402,0.0012934621493196
2024-01-18 05:00:00,152.77,153.775,151.82,153.5,37850245.0,151.21800000000002,152.2597003891388,57.33184635651367,146.07185356019212,151.791,157.51014643980787,7.535554070805084,0.6494104074783418,0.0117988267088524,0.0156127921573716,0.0034471325878298
2024-01-19 05:00:00,153.83,155.76,152.74,155.34,51621628.0,152.295,152.8197548638408,60.72424067631344,146.0029658384792,151.86849999999998,157.73403416152075,7.72449080819363,0.7959236025572781,0.0119869706840392,0.0117257241540351,0.0072726229478078
2024-01-22 05:00:00,156.89,157.05,153.9,154.78,43687468.0,153.249,153.1761630704152,59.18201782820503,146.00012923991804,152.00150000000002,158.002870760082,7.89646254817483,0.7314887807366549,-0.0036049954937557,0.0122111387289988,0.0064486800837749
