datetime,o,h,l,c,v,ma_10,ema_10,rsi_14,macd,macd_signal,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ret_1,roll_std_10,roll_mean_10
2024-01-16 05:00:00,142.0,144.35,141.45,142.49,22670467.0,139.85,140.6735590657802,62.53644243887216,MACD_12_26_9,MACDh_12_26_9,133.9552188806594,139.28050000000002,144.60578111934063,7.646843771153342,0.8013455936010188,-0.0011216263582194,0.012134242096899,0.0020526848887873
2024-01-17 05:00:00,141.345,141.84,138.9,141.47,20968649.0,140.18,140.8183665083656,58.85979406262191,MACD_12_26_9,MACDh_12_26_9,135.29626739741366,139.724,144.15173260258632,6.337826862366282,0.6971663779989936,-0.0071583970804969,0.0117441721842856,0.0024249688832217
2024-01-18 05:00:00,142.05,144.21,141.99,143.48,25746417.0,140.636,141.30229987048094,63.42335040230894,MACD_12_26_9,MACDh_12_26_9,135.7770712312477,140.108,144.4389287687523,6.18227191702444,0.8892929415428168,0.014207959284654,0.0123082705427712,0.0033029552292886
2024-01-19 05:00:00,144.74,146.45,144.38,146.38,34271867.0,141.635,142.22551807584804,68.80070165777741,MACD_12_26_9,MACDh_12_26_9,135.76891620112067,140.59449999999998,145.4200837988793,6.864541356709271,1.0994611472029183,0.0202118762196821,0.0107436008253604,0.0071453349042369
2024-01-22 05:00:00,147.1,148.39,145.84,145.99,32099269.0,142.661,142.90996933478476,67.366339799076,MACD_12_26_9,MACDh_12_26_9,135.73231087670518,140.977,146.22168912329482,7.440489048986457,0.9779120251126284,-0.0026642984014209,0.0104931445624975,0.0073628115088488
2024-01-23 05:00:00,145.89,147.182,145.5,147.04,21636129.0,143.48100000000002,143.66088400118753,69.22650719508349,MACD_12_26_9,MACDh_12_26_9,135.44639066467175,141.308,147.16960933532823,8.296217249311065,0.9889442192481954,0.0071922734433864,0.0089719109322609,0.0057907252158192
2024-01-24 05:00:00,148.54,149.855,148.1,148.7,25233450.0,144.256,144.57708691006252,71.94883612618814,MACD_12_26_9,MACDh_12_26_9,134.9781837892363,141.6685,148.35881621076368,9.445030067747853,1.025498330608604,0.0112894450489662,0.00859380164417,0.0053999347740146
2024-01-25 05:00:00,150.065,153.05,149.54,151.87,29149069.0,145.215,145.90307110823298,76.26660618253563,MACD_12_26_9,MACDh_12_26_9,134.15488451085358,142.18599999999998,150.21711548914638,11.296633267897546,1.10290503934898,0.0213180901143241,0.0099312103458077,0.006588146765227
2024-01-26 05:00:00,151.1,152.535,151.01,152.185,26097894.0,146.22549999999998,147.04523999764515,76.65120598217663,MACD_12_26_9,MACDh_12_26_9,133.69714082614195,142.77675000000002,151.8563591738581,12.718610241314602,1.0180977407644445,0.0020741423585961,0.0096777208123478,0.0069361288953796
2024-01-29 05:00:00,152.06,153.78,151.43,153.51,27767291.0,147.3115,148.2206509071642,78.24796408076594,MACD_12_26_9,MACDh_12_26_9,133.32051962959795,143.44075,153.56098037040206,14.110676875855786,0.9974812643321256,0.0087065085258073,0.0096338708150643,0.0074055973155279
2024-01-30 05:00:00,152.8,153.62,151.185,151.46,36331833.0,148.20850000000002,148.80962346949798,70.24397612503986,MACD_12_26_9,MACDh_12_26_9,133.4897157242358,144.02925,154.5687842757642,14.635269260603936,0.8525179484015308,-0.0133541788808545,0.0114435543815527,0.0061823420632644
2024-01-31 05:00:00,143.62,144.0,139.87,140.1,71889544.0,148.0715,147.2260555659529,43.61789555587206,MACD_12_26_9,MACDh_12_26_9,133.76881161310163,144.12574999999998,154.48268838689833,14.372086024736523,0.3056496114193066,-0.0750033012016374,0.0281492740815526,-0.0006021483488496
2024-02-01 05:00:00,142.12,143.06,140.79,141.16,40466549.0,147.8395,146.12313637214325,45.68668679673849,MACD_12_26_9,MACDh_12_26_9,134.06154418692762,144.23775,154.4139558130724,14.110322454520242,0.3487771347919122,0.0075660242683797,0.027837630222373,-0.001266341850477
2024-02-02 05:00:00,139.26,142.62,136.5,142.38,62499574.0,147.4395,145.44256612266264,48.04936667252032,MACD_12_26_9,MACDh_12_26_9,134.96807162617873,144.53725,154.10642837382127,13.2411241722411,0.3872813361959232,0.0086426749787476,0.0270758051668426,-0.0024232619745705
