datetime,o,h,l,c,v,ma_10,ema_10,rsi_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ret_1,roll_std_10,roll_mean_10
2024-04-08 04:00:00,169.34,174.5,167.79,172.98,104362520.0,172.514,171.41526856440558,46.60958082368551,162.39371879143087,172.0215,181.6492812085692,11.193695216666676,0.5497778241546911,0.0489993935718615,0.0299880350888575,0.0016579886686244
2024-04-09 04:00:00,172.91,179.22,171.92,176.88,103224375.0,172.939,172.40885609815,50.12546609622422,162.4481908404,171.977,181.5058091596,11.081492478180223,0.7572724418066638,0.0225459590704129,0.030616974961057,0.0028589054794882
2024-04-10 04:00:00,173.04,174.93,170.01,171.76,84490407.0,172.34799999999998,172.29088226212272,45.8561438809077,162.50736037086318,171.688,180.8686396291368,10.694561797139936,0.5039212954057959,-0.0289461781999095,0.0305804970583442,-0.0029552512387243
2024-04-11 04:00:00,172.55,175.88,168.51,174.6,94500987.0,171.825,172.71072185082767,48.47752569981071,162.73840952463792,171.944,181.1495904753621,10.70766118662131,0.6442601649024334,0.0165346995808104,0.0308509894527533,-0.0025175183212241
2024-04-12 04:00:00,172.34,173.8099,170.3644,171.05,64694669.0,171.351,172.40877242340443,45.51135870806634,164.2269379491543,172.3715,180.5160620508457,9.45001006645032,0.4188722492535516,-0.0203321878579609,0.0307047422950304,-0.0023041709056078
2024-04-15 04:00:00,170.24,170.69,161.38,161.48,100237910.0,169.977,170.42172289187636,38.64647334517602,163.63439413617905,172.267,180.89960586382097,10.022355835790918,-0.1247823756907544,-0.0559485530546625,0.0350936482255929,-0.007574775684878
2024-04-16 04:00:00,156.742,158.19,153.75,157.11,96941856.0,169.025,168.00140963880793,35.97776077994794,160.60599386920796,171.4325,182.25900613079205,12.630634367219798,-0.1614553128670418,-0.0270621748823381,0.0328253938518262,-0.0053785847722443
2024-04-17 04:00:00,157.64,158.33,153.78,155.45,82400718.0,167.732,165.71933515902464,34.98934630952303,157.76343414835372,170.63899999999998,183.51456585164624,15.091000124996349,-0.0898381544939223,-0.0105658455858953,0.03236575085121,-0.007485400381665
2024-04-18 04:00:00,151.25,152.2,148.7,149.93,96098830.0,165.614,162.84854694829286,31.855320182139163,153.86410708788412,169.3525,184.84089291211583,18.29130708092985,-0.1270017848270959,-0.0355098102283691,0.0322904974477764,-0.0126577141043475
2024-04-19 04:00:00,148.97,150.94,146.22,147.05,87048100.0,163.829,159.97608386678507,30.328942039429027,149.88915540643927,168.064,186.2388445935607,21.62848033315965,-0.0781067313072146,-0.0192089641832855,0.0313390419417063,-0.0109493661769336
2024-04-22 04:00:00,140.56,144.44,138.8025,142.05,107028504.0,160.736,156.71679589100597,27.83527808205772,145.27417847013646,166.625,187.9758215298636,25.627392684007248,-0.0755047871489809,-0.0340020401224073,0.0237764312094127,-0.0192495095463605
2024-04-23 04:00:00,143.33,147.26,141.11,144.68,124485654.0,157.51600000000002,154.5282875471867,31.04676205790085,142.0509999406708,165.22750000000002,188.40400005932923,28.054046765010924,0.0567169342350928,0.0185146075325588,0.0230108918457612,-0.0196526447001459
2024-04-24 04:00:00,162.84,167.97,157.51,162.13,181105220.0,156.55300000000005,155.91041708406183,47.682793418751125,141.96292612018613,164.4505,186.93807387981389,27.34874491693717,0.4484048387700235,0.1206110035941387,0.0495718294746003,-0.0046969265207411
2024-04-25 04:00:00,158.96,170.88,158.36,170.18,126405121.0,156.111,158.5048867051415,53.28243691952209,142.4268908363546,163.96800000000002,185.50910916364543,26.27477210632003,0.6441894183072959,0.0496515142169864,0.0521851354098199,-0.0013852450571235
